fecha;uva;
31/10/2016;16,6200;
01/11/2016;16,6300;
02/11/2016;16,6400;
03/11/2016;16,6400;
04/11/2016;16,6500;
05/11/2016;16,6600;
06/11/2016;16,6600;
07/11/2016;16,6600;
08/11/2016;16,6700;
09/11/2016;16,6800;
10/11/2016;16,6900;
11/11/2016;16,6900;
12/11/2016;16,7000;
13/11/2016;16,7000;
14/11/2016;16,7000;
15/11/2016;16,7200;
16/11/2016;16,7200;
17/11/2016;16,7300;
18/11/2016;16,7500;
19/11/2016;16,7600;
20/11/2016;16,7600;
21/11/2016;16,7600;
22/11/2016;16,8000;
23/11/2016;16,8200;
24/11/2016;16,8300;
25/11/2016;16,8400;
26/11/2016;16,8600;
27/11/2016;16,8600;
28/11/2016;16,8600;
29/11/2016;16,8600;
30/11/2016;16,9100;
01/12/2016;16,9200;
02/12/2016;16,9400;
03/12/2016;16,9500;
04/12/2016;16,9500;
05/12/2016;16,9500;
06/12/2016;16,9900;
07/12/2016;17,0000;
08/12/2016;17,0200;
09/12/2016;17,0200;
10/12/2016;17,0200;
11/12/2016;17,0200;
12/12/2016;17,0200;
13/12/2016;17,0900;
14/12/2016;17,1000;
15/12/2016;17,1100;
16/12/2016;17,1300;
17/12/2016;17,1400;
18/12/2016;17,1400;
19/12/2016;17,1400;
20/12/2016;17,1600;
21/12/2016;17,1700;
22/12/2016;17,1800;
23/12/2016;17,1900;
24/12/2016;17,2000;
25/12/2016;17,2000;
26/12/2016;17,2000;
27/12/2016;17,2200;
28/12/2016;17,2300;
29/12/2016;17,2400;
30/12/2016;17,2500;
31/12/2016;17,2600;
01/01/2017;17,2600;
02/01/2017;17,2600;
03/01/2017;17,2900;
04/01/2017;17,2900;
05/01/2017;17,3000;
06/01/2017;17,3100;
07/01/2017;17,3200;
08/01/2017;17,3200;
09/01/2017;17,3200;
10/01/2017;17,3500;
11/01/2017;17,3600;
12/01/2017;17,3600;
13/01/2017;17,3700;
14/01/2017;17,3800;
15/01/2017;17,3800;
16/01/2017;17,3800;
17/01/2017;17,4100;
18/01/2017;17,4100;
19/01/2017;17,4200;
20/01/2017;17,4300;
21/01/2017;17,4300;
22/01/2017;17,4300;
23/01/2017;17,4300;
24/01/2017;17,4500;
25/01/2017;17,4600;
26/01/2017;17,4700;
27/01/2017;17,4700;
28/01/2017;17,4800;
29/01/2017;17,4800;
30/01/2017;17,4800;
31/01/2017;17,5000;
01/02/2017;17,5100;
02/02/2017;17,5100;
03/02/2017;17,5200;
04/02/2017;17,5300;
05/02/2017;17,5300;
06/02/2017;17,5300;
07/02/2017;17,5500;
08/02/2017;17,5600;
09/02/2017;17,5600;
10/02/2017;17,5700;
11/02/2017;17,5800;
12/02/2017;17,5800;
13/02/2017;17,5800;
14/02/2017;17,6000;
15/02/2017;17,6000;
16/02/2017;17,6100;
17/02/2017;17,6200;
18/02/2017;17,6300;
19/02/2017;17,6300;
20/02/2017;17,6300;
21/02/2017;17,6500;
22/02/2017;17,6600;
23/02/2017;17,6700;
24/02/2017;17,6700;
25/02/2017;17,6800;
26/02/2017;17,6800;
27/02/2017;17,6800;
28/02/2017;17,6800;
01/03/2017;17,6800;
02/03/2017;17,7200;
03/03/2017;17,7300;
04/03/2017;17,7400;
05/03/2017;17,7400;
06/03/2017;17,7400;
07/03/2017;17,7600;
08/03/2017;17,7700;
09/03/2017;17,7800;
10/03/2017;17,7900;
11/03/2017;17,8000;
12/03/2017;17,8000;
13/03/2017;17,8000;
14/03/2017;17,8200;
15/03/2017;17,8300;
16/03/2017;17,8400;
17/03/2017;17,8500;
18/03/2017;17,8700;
19/03/2017;17,8700;
20/03/2017;17,8700;
21/03/2017;17,9100;
22/03/2017;17,9200;
23/03/2017;17,9400;
24/03/2017;17,9500;
25/03/2017;17,9500;
26/03/2017;17,9500;
27/03/2017;17,9500;
28/03/2017;18,0100;
29/03/2017;18,0200;
30/03/2017;18,0400;
31/03/2017;18,0500;
01/04/2017;18,0700;
02/04/2017;18,0700;
03/04/2017;18,0700;
04/04/2017;18,1100;
05/04/2017;18,1300;
06/04/2017;18,1400;
07/04/2017;18,1600;
08/04/2017;18,1700;
09/04/2017;18,1700;
10/04/2017;18,1700;
11/04/2017;18,2200;
12/04/2017;18,2300;
13/04/2017;18,2400;
14/04/2017;18,2400;
15/04/2017;18,2400;
16/04/2017;18,2400;
17/04/2017;18,2400;
18/04/2017;18,3200;
19/04/2017;18,3300;
20/04/2017;18,3500;
21/04/2017;18,3600;
22/04/2017;18,3800;
23/04/2017;18,3800;
24/04/2017;18,3800;
25/04/2017;18,4200;
26/04/2017;18,4300;
27/04/2017;18,4500;
28/04/2017;18,4600;
29/04/2017;18,4800;
30/04/2017;18,4800;
01/05/2017;18,4800;
02/05/2017;18,4800;
03/05/2017;18,5400;
04/05/2017;18,5500;
05/05/2017;18,5600;
06/05/2017;18,5800;
07/05/2017;18,5800;
08/05/2017;18,5800;
09/05/2017;18,6200;
10/05/2017;18,6400;
11/05/2017;18,6500;
12/05/2017;18,6700;
13/05/2017;18,6800;
14/05/2017;18,6800;
15/05/2017;18,6800;
16/05/2017;18,7300;
17/05/2017;18,7400;
18/05/2017;18,7600;
19/05/2017;18,7700;
20/05/2017;18,7900;
21/05/2017;18,7900;
22/05/2017;18,7900;
23/05/2017;18,8300;
24/05/2017;18,8500;
25/05/2017;18,8700;
26/05/2017;18,8700;
27/05/2017;18,9000;
28/05/2017;18,9000;
29/05/2017;18,9000;
30/05/2017;18,9400;
31/05/2017;18,9600;
01/06/2017;18,9700;
02/06/2017;18,9900;
03/06/2017;19,0000;
04/06/2017;19,0000;
05/06/2017;19,0000;
06/06/2017;19,0500;
07/06/2017;19,0700;
08/06/2017;19,0800;
09/06/2017;19,1000;
10/06/2017;19,1100;
11/06/2017;19,1100;
12/06/2017;19,1100;
13/06/2017;19,1600;
14/06/2017;19,1800;
15/06/2017;19,1900;
16/06/2017;19,2100;
17/06/2017;19,2200;
18/06/2017;19,2200;
19/06/2017;19,2200;
20/06/2017;19,2400;
21/06/2017;19,2400;
22/06/2017;19,2600;
23/06/2017;19,2700;
24/06/2017;19,2800;
25/06/2017;19,2800;
26/06/2017;19,2800;
27/06/2017;19,3000;
28/06/2017;19,3100;
29/06/2017;19,3200;
30/06/2017;19,3300;
01/07/2017;19,3400;
02/07/2017;19,3400;
03/07/2017;19,3400;
04/07/2017;19,3600;
05/07/2017;19,3700;
06/07/2017;19,3800;
07/07/2017;19,3900;
08/07/2017;19,4000;
09/07/2017;19,4000;
10/07/2017;19,4000;
11/07/2017;19,4200;
12/07/2017;19,4300;
13/07/2017;19,4400;
14/07/2017;19,4500;
15/07/2017;19,4600;
